model,hyperparameters,preprocessor,postprocessor,UnifiedMetricLibrary (statistical_parity_difference),UnifiedMetricLibrary (accuracy_score),UnifiedMetricLibrary (equal_opportunity_difference),UnifiedMetricLibrary (disparate_impact),UnifiedMetricLibrary (average_odds_difference)
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.39616493964320054,0.6704484062668827,0.2517818959372773,0.5489814533292794,0.3750049065291621
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.39616493964320054,0.6704484062668827,0.2517818959372773,0.5489814533292794,0.3750049065291621
LogisticRegression,"{'penalty': 'l1', 'C': 0.5, 'solver': 'liblinear'}",None,None,0.39616493964320054,0.6704484062668827,0.2517818959372773,0.5489814533292794,0.3750049065291621
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.3039205213118257,0.6742301458670988,0.18148610121168918,0.6430139908400777,0.27776595136920335
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.3039205213118257,0.6742301458670988,0.18148610121168918,0.6430139908400777,0.27776595136920335
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.3039205213118257,0.6742301458670988,0.18148610121168918,0.6430139908400777,0.27776595136920335
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.3039205213118257,0.6742301458670988,0.18148610121168918,0.6430139908400777,0.27776595136920335
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.3039205213118257,0.6742301458670988,0.18148610121168918,0.6430139908400777,0.27776595136920335
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.29617562226257876,0.6747703943814155,0.16651817533856028,0.6493280632411068,0.27123618690592133
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.29617562226257876,0.6747703943814155,0.16651817533856028,0.6493280632411068,0.27123618690592133
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.29617562226257876,0.6747703943814155,0.16651817533856028,0.6493280632411068,0.27123618690592133
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.29617562226257876,0.6747703943814155,0.16651817533856028,0.6493280632411068,0.27123618690592133
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.29617562226257876,0.6747703943814155,0.16651817533856028,0.6493280632411068,0.27123618690592133
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.3875921375921376,0.6704484062668827,0.24705987170349242,0.5518465909090909,0.3656237199302631
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.38858027988462773,0.6709886547811994,0.24705987170349242,0.5507040513833992,0.36657791840354553
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.38858027988462773,0.6709886547811994,0.24705987170349242,0.5507040513833992,0.36657791840354553
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.38858027988462773,0.6709886547811994,0.24705987170349242,0.5507040513833992,0.36657791840354553
LogisticRegression,"{'penalty': 'l1', 'C': 1.5, 'solver': 'liblinear'}",None,None,0.38858027988462773,0.6709886547811994,0.24705987170349242,0.5507040513833992,0.36657791840354553
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.3146298472385429,0.6747703943814155,0.18763364219529577,0.6333447449503594,0.2907224917628606
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.3146298472385429,0.6747703943814155,0.18763364219529577,0.6333447449503594,0.2907224917628606
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.3146298472385429,0.6747703943814155,0.18763364219529577,0.6333447449503594,0.2907224917628606
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.3146298472385429,0.6747703943814155,0.18763364219529577,0.6333447449503594,0.2907224917628606
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",DisparateImpactRemover,None,0.3146298472385429,0.6747703943814155,0.18763364219529577,0.6333447449503594,0.2907224917628606
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
LogisticRegression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'liblinear'}",None,CalibratedEqOddsPostprocessing,0.13940818288644374,0.7763371150729336,0.0,0.7757346623131123,0.0
